1000 1000
37 220 146
942 241 30
312 310 28
500 580 251
277 183 115
489 174 1
369 72 11
301 169 31
907 30 5
78 553 159
782 517 2
140 87 15
515 925 18
904 636 5
64 840 9
667 464 7
900 981 4
793 143 19
127 699 176
633 464 20
652 74 47
872 251 33
515 465 14
743 757 47
507 754 29
568 915 30
877 715 26
705 645 61
738 356 491
656 418 10
421 352 37
991 741 18
832 224 46
829 227 428
483 13 41
18 783 41
344 95 49
498 478 276
831 569 15
291 961 23
369 109 4
597 414 37
764 808 12
518 476 42
28 466 37
27 624 11
127 796 24
488 459 31
206 291 42
969 123 17
810 186 9
511 353 33
902 145 19
179 102 45
74 976 37
522 526 236
3 366 247
607 562 11
481 859 16
326 343 32
341 812 169
552 969 35
6 56 11
975 315 10
538 686 11
951 284 24
893 624 46
358 680 24
203 399 13
183 345 24
439 118 31
476 359 3
681 344 44
392 238 17
850 602 13
256 970 38
439 941 13
437 14 48
112 266 47
26 119 6
88 331 5
46 875 34
685 946 10
125 94 171
71 696 81
735 537 35
508 412 9
940 857 46
225 165 4
648 970 143
279 748 14
567 666 48
35 374 19
240 340 16
341 77 45
424 329 29
327 527 1
692 930 33
866 977 23
759 930 6
910 930 15
530 594 39
832 461 39
272 757 47
424 811 25
874 175 28
134 622 65
759 598 1
943 76 44
369 869 42
267 254 227
779 694 46
696 957 6
328 325 13
614 890 301
150 405 17
392 264 27
997 574 194
464 510 38
283 84 21
0 230 18
604 369 47
396 993 9
463 464 477
716 824 6
785 909 10
466 576 18
454 710 232
500 545 27
390 48 39
69 269 39
217 188 17
980 934 2
889 608 254
980 252 15
261 267 34
917 174 187
86 56 31
553 316 27
374 903 12
187 408 37
267 609 44
596 367 300
361 410 38
769 72 14
237 766 39
113 590 33
773 799 49
170 617 151
630 757 27
902 38 19
231 57 8
798 131 21
373 710 41
338 367 50
575 778 26
655 247 294
339 319 47
948 123 43
23 291 22
789 566 25
453 960 36
50 816 10
635 795 37
857 284 5
327 490 35
845 890 31
810 476 95
731 321 38
828 862 44
180 18 341
913 454 6
744 545 42
850 329 6
441 825 139
242 83 15
914 876 7
347 961 13
278 371 4
284 783 8
496 588 21
748 348 29
820 877 210
43 452 47
146 226 28
864 760 11
811 571 113
198 698 10
555 11 15
51 97 24
712 61 5
392 810 48
379 112 49
568 45 13
224 578 50
469 358 11
257 657 9
13 949 34
825 430 48
579 79 20
312 958 45
522 534 39
659 400 18
893 78 43
120 644 313
45 325 26
89 401 106
898 809 43
460 561 14
290 894 23
388 259 48
299 333 187
785 853 86
728 970 31
464 61 23
251 610 34
5 918 25
91 940 365
415 436 31
742 397 182
766 669 243
486 673 50
633 355 41
54 667 72
385 0 35
933 916 12
748 312 324
57 464 35
321 276 155
247 8 33
485 280 105
454 165 46
691 825 5
11 493 31
485 411 32
553 53 11
687 765 26
557 632 34
466 937 20
417 689 15
892 737 43
905 388 39
456 836 38
730 858 37
376 312 21
291 604 166
641 589 38
904 999 7
464 72 6
544 224 10
812 388 8
164 435 165
561 309 24
626 478 184
745 152 45
872 780 13
850 210 16
506 532 30
300 941 461
671 297 32
760 454 22
232 866 261
165 812 18
632 510 12
511 86 34
235 699 17
392 999 5
740 782 26
113 591 28
705 95 31
422 8 44
749 786 487
361 181 357
704 862 40
401 563 201
447 561 40
964 130 168
823 469 11
347 626 26
183 826 31
234 74 46
755 384 20
177 204 17
364 141 32
828 576 228
523 506 22
688 321 28
888 200 17
586 862 107
727 39 11
673 918 23
899 636 21
935 58 35
401 11 10
913 154 78
574 72 36
539 708 39
337 50 36
603 224 440
340 746 12
46 867 10
116 556 3
332 783 34
480 582 21
926 174 2
368 290 13
470 592 47
338 525 32
840 835 2
373 6 20
582 253 40
56 826 12
28 977 47
305 580 232
368 40 4
586 416 43
588 61 24
871 242 16
266 435 36
261 191 10
370 942 29
535 273 45
38 892 24
183 990 183
589 55 33
644 94 71
367 109 13
655 589 296
43 11 11
708 484 36
148 839 44
933 907 35
98 353 30
482 155 46
174 158 31
609 672 49
47 807 1
258 418 134
78 157 15
182 766 40
183 699 11
786 69 108
914 83 29
687 423 24
656 376 28
108 129 11
262 986 34
863 818 27
179 553 49
